acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.909,0.219,0.0304,0.938,7,0.149,-35.2,0,0.0375,130.244,0.114,ambient
0.838,0.162,0.00233,0.765,0,0.113,-33.756,1,0.0499,111.318,0.0322,ambient
0.991,0.125,0.0108,0.945,0,0.057,-32.126,1,0.0376,71.332,0.164,ambient
0.994,0.0693,0.00313,0.876,7,0.109,-41.164,0,0.0471,73.878,0.0385,ambient
0.72,0.326,0.162,0.777,1,0.0982,-16.843,1,0.0431,145.84,0.0682,ambient
0.919,0.247,0.0392,0.573,2,0.343,-28.219,1,0.0374,169.606,0.0887,ambient
0.478,0.182,0.0784,0.00263,2,0.137,-26.043,1,0.0389,106.712,0.0817,ambient
0.947,0.109,0.0489,0.887,7,0.283,-28.219,1,0.039,66.937,0.0367,ambient
0.0625,0.176,0.338,0.923,2,0.246,-17.168,1,0.0454,121.995,0.0581,ambient
0.924,0.0748,0.041,0.948,5,0.089,-18.582,1,0.0405,82.531,0.426,ambient
0.989,0.303,0.00926,0.918,11,0.0837,-28.716,0,0.0486,71.406,0.0758,ambient
0.578,0.471,0.295,0.681,4,0.0807,-16.384,1,0.0278,85.01,0.064,ambient
0.931,0.0711,0.0183,0.931,2,0.0869,-31.595,0,0.0401,74.375,0.0366,ambient
0.993,0.282,0.00212,0.964,6,0.104,-36.252,1,0.0491,66.72,0.0803,ambient
0.976,0.163,0.0888,0.912,2,0.117,-24.673,0,0.0399,131.834,0.0381,ambient
0.523,0.436,0.442,0.184,0,0.101,-11.429,1,0.0481,120.283,0.137,ambient
0.98,0.26,0.01,0.843,4,0.131,-32.894,0,0.0359,101.39,0.0349,ambient
0.996,0.558,0.0259,0.871,8,0.0969,-30.016,1,0.0458,157.811,0.37,ambient
0.513,0.71,0.734,0.836,0,0.0701,-14.932,0,0.052,147.98,0.4,ambient
0.42,0.765,0.486,0.876,1,0.332,-14.671,1,0.0724,119.319,0.303,ambient
0.983,0.191,0.00385,0.911,7,0.145,-34.165,1,0.0426,76.153,0.036,ambient
0.956,0.141,0.0851,0.945,7,0.0833,-25.382,1,0.0336,98.748,0.0349,ambient
0.972,0.111,0.255,0.0613,2,0.0739,-11.474,0,0.038,92.183,0.0385,ambient
0.846,0.139,0.397,0.864,11,0.122,-12.687,1,0.0416,79.941,0.0828,ambient
1.53e-05,0.455,0.847,0.817,0,0.379,-8.655,1,0.0321,158.014,0.624,ambient
0.988,0.327,0.00946,0.918,8,0.106,-20.042,1,0.0424,71.946,0.0442,ambient
0.949,0.493,0.175,0.777,10,0.112,-18.049,0,0.036,106.903,0.278,ambient
0.609,0.545,0.547,0.373,0,0.156,-10.142,1,0.0778,100.017,0.167,ambient
0.814,0.321,0.239,0.0408,9,0.141,-24.434,0,0.119,168.727,0.0829,ambient
0.901,0.0638,0.147,0.946,8,0.102,-15.011,0,0.0349,71.558,0.0446,ambient
0.124,0.343,0.256,0.642,7,0.321,-20.002,0,0.0586,114.54,0.0399,ambient
0.592,0.328,0.394,0.894,4,0.414,-11.678,0,0.0365,134.822,0.202,ambient
0.477,0.38,0.271,0.868,9,0.0594,-13.245,0,0.0355,121.594,0.115,ambient
0.407,0.615,0.279,0.923,11,0.143,-18.283,0,0.0447,104.135,0.188,ambient
0.354,0.17,0.4,0.195,1,0.0988,-7.579,1,0.0386,120.354,0.0342,ambient
0.198,0.426,0.228,0.13,2,0.0832,-10.552,1,0.0322,147.994,0.0822,ambient
0.0332,0.162,0.256,0.0923,2,0.0621,-11.296,1,0.0346,108.893,0.0784,ambient
0.177,0.254,0.356,0.895,6,0.115,-6.798,1,0.0328,100.062,0.035,ambient
0.367,0.285,0.322,0.649,6,0.107,-16.58,0,0.0445,133.577,0.138,ambient
0.804,0.468,0.105,0.874,6,0.109,-16.289,0,0.0327,67.168,0.25,ambient
0.154,0.0652,0.342,0.857,10,0.11,-12.742,0,0.0483,65.602,0.0335,ambient
0.995,0.375,0.165,0.901,9,0.105,-21.918,1,0.0676,114.735,0.0581,ambient
0.952,0.16,0.338,0.91,5,0.0969,-17.088,1,0.0369,58.095,0.0574,ambient
0.9,0.169,0.346,0.864,10,0.364,-10.37,0,0.0365,52.008,0.0374,ambient
0.984,0.67,0.013,0.923,6,0.113,-24.009,1,0.468,134.496,0.394,ambient
0.959,0.369,0.102,0.0443,1,0.109,-21.097,0,0.0401,134.261,0.209,ambient
0.709,0.409,0.569,0.843,1,0.13,-19.785,1,0.0823,124.893,0.0949,ambient
0.01,0.661,0.542,0.269,6,0.129,-18.465,0,0.0405,104.99,0.541,ambient
0.0448,0.771,0.669,0.7,7,0.0534,-10.348,0,0.0458,116.12,0.267,ambient
0.00163,0.538,0.728,0.775,10,0.747,-8.653,0,0.0368,111.04,0.492,ambient
0.173,0.554,0.669,0.864,5,0.112,-14.762,0,0.0577,132.995,0.28,ambient
0.00182,0.547,0.579,0.698,11,0.702,-12.448,1,0.0409,115.988,0.282,ambient
0.232,0.723,0.419,0.386,1,0.589,-19.711,1,0.0635,129.004,0.173,ambient
0.00181,0.352,0.575,0.687,8,0.143,-14.853,1,0.0445,124.864,0.431,ambient
0.987,0.425,0.0379,0.907,11,0.0756,-25.247,1,0.0528,80.045,0.0387,ambient
0.0585,0.552,0.877,0.899,1,0.0746,-5.765,1,0.0353,176.05,0.597,ambient
0.331,0.659,0.717,0.911,9,0.127,-7.816,1,0.0318,139.952,0.384,ambient
0.176,0.598,0.813,0.978,9,0.108,-9.578,1,0.0428,120.008,0.381,ambient
0.0212,0.574,0.897,0.904,7,0.0703,-8.435,1,0.0395,125.995,0.193,ambient
0.00442,0.58,0.82,0.956,8,0.0728,-8.179,1,0.0415,120.007,0.321,ambient
0.082,0.553,0.616,0.947,1,0.71,-10.159,1,0.033,150.006,0.286,ambient
0.924,0.351,0.163,0.822,1,0.123,-13.985,1,0.0408,70.579,0.352,ambient
0.00629,0.414,0.498,0.87,1,0.205,-11.945,0,0.0579,106.978,0.37,ambient
